Session_ID_128,temporal_behavior,network_selection,address_selection
15548,periodic,inconsistent,unknown
60387,one-off,single prefix,structured
66078,periodic,inconsistent,unknown
29325,periodic,dependent,unknown
53708,periodic,independent,unknown
57040,periodic,inconsistent,unknown
4058,periodic,inconsistent,unknown
27789,one-off,single prefix,structured
17584,periodic,inconsistent,unknown
30374,periodic,inconsistent,unknown
85292,periodic,independent,structured
9470,periodic,inconsistent,unknown
10524,periodic,inconsistent,unknown
54849,periodic,inconsistent,unknown
19089,periodic,inconsistent,unknown
47305,periodic,inconsistent,unknown
50348,periodic,inconsistent,unknown
49652,periodic,independent,unknown
52311,periodic,inconsistent,unknown
32166,periodic,single prefix,structured
60393,periodic,single prefix,structured
46170,intermittent,inconsistent,unknown
6642,periodic,inconsistent,unknown
63920,periodic,single prefix,structured
57041,periodic,inconsistent,unknown
13636,intermittent,inconsistent,structured
41227,periodic,inconsistent,unknown
68377,one-off,single prefix,structured
5577,periodic,inconsistent,unknown
29326,periodic,dependent,unknown
47306,periodic,inconsistent,unknown
25256,periodic,inconsistent,unknown
31330,intermittent,inconsistent,unknown
42899,intermittent,inconsistent,unknown
17585,periodic,inconsistent,unknown
30375,periodic,inconsistent,unknown
916,intermittent,inconsistent,unknown
14463,periodic,inconsistent,unknown
53709,periodic,independent,unknown
85293,periodic,independent,structured
33228,periodic,inconsistent,unknown
31331,intermittent,inconsistent,unknown
62488,periodic,inconsistent,unknown
28124,intermittent,single prefix,structured
5578,periodic,inconsistent,structured
70,periodic,independent,unknown
63765,intermittent,single prefix,structured
19090,periodic,inconsistent,structured
26283,periodic,independent,unknown
26328,periodic,independent,unknown
39671,intermittent,single prefix,structured
7682,periodic,inconsistent,unknown
71349,periodic,independent,unknown
19474,periodic,independent,unknown
68886,periodic,independent,unknown
76486,periodic,independent,unknown
75254,periodic,independent,unknown
44896,periodic,independent,unknown
82639,periodic,independent,unknown
74023,periodic,independent,unknown
70119,periodic,independent,unknown
72574,periodic,independent,unknown
78947,periodic,independent,unknown
80177,periodic,independent,unknown
81408,periodic,independent,unknown
64292,periodic,inconsistent,unknown
77718,periodic,independent,unknown
48283,periodic,inconsistent,unknown
1799,intermittent,inconsistent,unknown
4059,periodic,inconsistent,unknown
59291,periodic,inconsistent,unknown
29327,periodic,dependent,unknown
16407,periodic,inconsistent,unknown
58765,one-off,single prefix,structured
24293,periodic,inconsistent,unknown
71350,periodic,independent,unknown
34272,periodic,inconsistent,unknown
19475,periodic,independent,unknown
68887,periodic,independent,unknown
76487,periodic,independent,unknown
75255,periodic,independent,unknown
44897,periodic,independent,unknown
82640,periodic,independent,unknown
46171,intermittent,inconsistent,unknown
74024,periodic,independent,unknown
70120,periodic,independent,unknown
72575,periodic,independent,unknown
78948,periodic,independent,unknown
80178,periodic,independent,unknown
12694,periodic,inconsistent,unknown
81409,periodic,independent,unknown
64293,periodic,inconsistent,unknown
9471,periodic,inconsistent,unknown
77719,periodic,independent,unknown
52312,periodic,inconsistent,unknown
66079,periodic,inconsistent,unknown
68206,intermittent,single prefix,structured
65774,intermittent,inconsistent,unknown
85294,periodic,independent,structured
32453,periodic,independent,unknown
27266,one-off,single prefix,structured
41228,periodic,inconsistent,unknown
13637,intermittent,inconsistent,structured
16408,periodic,inconsistent,unknown
67874,intermittent,single prefix,structured
